,cycle_time_from_er_confirm,predicted_cycle_time
288,62,46.309544
289,35,37.08168
290,65,49.750053
291,77,37.08168
292,20,25.580088
293,43,30.344818
294,27,34.289593
295,39,42.827953
296,41,36.802322
297,28,33.332916
298,34,28.019567
299,48,34.599297
300,59,40.97384
301,55,40.452717
302,25,34.629677
303,62,47.196632
304,34,35.50137
305,68,48.516994
306,20,25.580088
307,32,50.137196
308,32,34.3256
309,23,25.13764
310,77,49.750053
311,77,31.176155
312,35,36.69581
313,24,30.098396
314,39,37.002323
315,19,38.480236
316,34,37.113525
317,42,34.599297
318,17,20.498156
319,33,34.289593
320,32,42.218365
321,51,40.97384
322,54,30.85251
323,29,34.599297
324,16,33.954044
325,21,35.50137
326,66,37.113525
327,30,33.80024
328,40,38.480236
329,30,37.08168
330,22,36.569454
331,61,37.60207
332,70,40.515602
333,59,46.309544
334,21,36.739525
335,35,29.037663
336,26,30.344818
337,56,73.22686
338,64,37.113525
339,59,62.172085
340,21,38.480236
341,21,34.599297
342,26,35.614346
343,35,35.614346
344,39,38.480236
345,34,35.46583
346,45,45.506298
347,49,39.493446
348,55,50.137196
349,27,35.614346
350,45,40.452717
351,31,47.14592
352,34,36.569454
353,27,32.874622
354,32,36.802322
355,29,33.80024
356,62,66.7507
357,19,29.037663
358,32,23.112461
359,62,38.772346
360,68,44.519623
361,74,44.519623
362,47,28.019567
363,25,35.46583
364,48,40.453396
365,47,36.614735
366,31,33.80024
367,24,35.46583
368,20,34.289593
369,48,36.69581
370,29,33.44499
371,20,24.465855
372,41,40.515602
373,29,35.50137
374,35,38.480236
375,23,25.858187
376,33,36.894016
377,32,42.212154
378,89,88.78331
379,69,57.898293
380,33,40.452717
381,37,38.480236
382,47,26.948202
383,50,42.913025
384,34,37.113525
385,34,45.506298
386,42,45.688206
387,38,39.60492
388,39,28.126944
389,31,33.80024
390,53,40.515602
391,47,48.516994
392,41,35.50137
393,61,33.954044
394,41,57.898293
395,11,23.643064
396,187,116.51473
397,54,36.635216
398,36,36.739525
399,16,13.7692795
400,43,42.218365
401,47,40.97384
402,45,34.629677
403,21,36.614735
404,53,37.002323
405,19,36.739525
406,26,29.985664
407,48,35.50137
408,56,34.440895
409,44,55.264156
410,25,38.480236
411,37,36.635216
412,40,37.113525
413,34,33.332916
414,59,36.802322
415,24,35.46583
416,29,34.440895
417,32,36.69581
418,36,29.290276
419,28,34.440895
420,66,59.329277
421,40,35.614346
422,56,34.599297
423,26,34.44332
424,62,40.755493
425,56,45.688206
426,26,29.335428
427,40,28.38883
428,15,19.206976
429,57,63.396233
430,37,46.517235
431,27,46.309544
432,27,35.463074
433,37,42.874657
434,86,36.569454
435,52,36.69581
436,41,40.934402
437,34,34.440895
438,49,34.599297
439,47,33.80024
440,28,33.44499
441,27,40.453396
442,42,40.515602
443,26,34.282402
444,39,34.087093
445,50,46.639038
446,52,30.344818
447,68,49.68757
448,50,52.880863
449,40,39.945877
450,29,34.599297
451,30,33.062424
452,28,32.18072
453,69,34.599297
454,56,36.802322
455,37,36.802322
456,57,45.688206
457,30,32.18072
458,23,36.739525
459,62,30.85251
460,47,34.3256
461,36,40.515602
462,53,40.38595
463,35,35.463074
464,21,30.767153
465,19,37.08168
466,35,33.332916
467,57,43.375298
468,32,38.480236
469,29,28.019567
470,62,52.818367
471,24,28.019567
472,48,35.50137
473,33,39.60492
474,29,36.432472
475,49,40.453396
476,54,42.212154
477,74,74.38499
478,34,40.452717
479,20,26.948202
480,32,40.453396
481,35,30.344818
482,29,29.037663
483,16,37.08168
484,42,40.934402
485,34,32.874622
486,46,45.506298
487,80,25.47964
488,38,29.654778
489,42,37.08168
490,36,34.599297
491,34,33.80024
492,21,36.69581
493,35,44.519623
494,30,28.019567
495,45,47.740215
496,114,116.51473
497,114,116.51473
498,27,37.60207
499,19,36.569454
500,27,40.453396
501,37,35.614346
502,35,35.46583
503,34,36.802322
504,55,34.443565
505,25,36.802322
506,86,23.160053
507,43,45.506298
508,26,33.80024
509,22,30.542183
510,33,40.97384
511,36,27.561016
512,63,66.840546
513,52,36.802322
514,18,29.335428
515,49,39.60492
516,41,33.44499
517,42,40.453396
518,28,40.97384
519,27,32.85291
520,39,40.515602
521,48,53.593708
522,63,71.86952
523,41,45.90487
524,35,36.802322
525,44,46.239586
526,36,36.569454
527,19,36.802322
528,13,24.228888
529,51,39.873375
530,30,34.599297
531,30,34.599297
532,33,40.97384
533,52,49.41297
534,32,30.098396
535,24,40.452717
536,31,33.80024
537,26,29.335428
538,75,38.480236
539,61,37.113525
540,40,40.515602
541,34,33.44499
542,21,30.767153
543,18,23.400372
544,49,40.453396
545,42,34.599297
546,21,34.629677
547,54,49.68757
548,70,40.515602
549,60,29.335428
550,20,25.457447
551,27,30.344818
552,43,33.062424
553,39,33.332916
554,12,34.44332
555,43,37.08168
556,37,40.453396
557,30,33.3885
558,36,36.802322
559,35,39.60492
560,25,33.332916
561,47,40.452717
562,68,30.767153
563,20,29.335428
564,35,36.569454
565,39,40.452717
566,50,44.519623
567,32,39.945877
568,29,40.97384
569,24,35.46583
570,32,36.569454
571,37,36.802322
572,76,66.7507
573,40,42.212154
574,19,34.629677
575,37,34.440895
576,34,23.47754
577,42,55.264156
578,25,29.94045
579,56,30.26497
580,42,28.019567
581,45,40.934402
582,36,37.113525
583,19,17.779202
584,34,35.46583
585,17,36.894016
586,45,35.46583
587,53,40.452717
588,41,37.002323
589,16,35.46583
590,14,36.739525
591,59,35.431152
592,22,34.282402
593,30,54.83718
594,33,40.515602
595,49,40.452717
596,41,36.894016
597,42,46.239586
598,41,40.899345
599,99,116.51473
600,32,34.440895
601,34,34.599297
602,105,116.51473
603,48,37.113525
604,50,40.515602
605,59,25.580088
606,28,33.80024
607,34,46.517235
608,27,31.750036
609,34,33.80024
610,64,72.25984
611,38,33.80024
612,46,42.212154
613,29,36.69581
614,41,59.79638
615,29,33.954044
616,15,41.16649
617,43,49.750053
618,55,40.452717
619,17,40.97384
620,128,116.51473
621,29,35.614346
622,62,40.934402
623,26,38.480236
624,36,37.113525
625,40,49.41297
626,36,33.3885
627,37,35.614346
628,32,36.635216
629,57,40.88742
630,22,28.126944
631,27,37.08168
632,36,38.772346
633,31,38.480236
634,60,49.750053
635,42,40.515602
636,14,32.18072
637,46,40.452717
638,41,25.457447
639,25,31.750036
640,70,40.515602
641,35,40.515602
642,22,28.019567
643,36,35.614346
644,43,45.506298
645,41,34.599297
646,29,40.942596
647,21,39.60492
648,51,54.62609
649,41,34.599297
650,46,28.126944
651,61,39.931423
652,27,38.480236
653,23,39.945877
654,53,44.519623
655,61,41.511127
656,50,42.212154
657,43,40.453396
658,23,36.569454
659,22,31.750036
660,41,37.08168
661,77,27.561016
662,33,34.440895
663,39,40.515602
664,40,33.44499
665,90,116.51473
666,56,52.381844
667,29,36.69581
668,44,37.113525
669,46,33.3885
670,44,40.452717
671,45,42.827953
672,61,33.3885
673,37,36.802322
674,51,46.13342
675,30,34.440895
676,48,52.936268
677,34,40.452717
678,43,34.3256
679,50,52.936268
680,28,47.14592
681,29,34.289593
682,34,25.580088
683,55,51.902023
684,45,40.453396
685,45,57.898293
686,57,65.20915
687,24,34.289593
688,23,31.750036
689,21,34.599297
690,18,34.440895
691,8,20.498156
692,26,36.894016
693,43,40.88742
694,44,34.440895
695,38,36.894016
696,35,35.46583
697,17,34.440895
698,29,36.802322
699,34,33.332916
700,35,36.739525
701,50,47.220695
702,57,37.113525
703,61,40.452717
704,44,52.381844
705,80,77.01244
706,14,28.019567
707,36,37.08168
708,66,45.506298
709,41,42.874657
710,32,36.739525
711,26,29.985664
712,57,58.517487
713,54,50.137196
714,150,116.51473
715,65,52.936268
716,44,34.599297
717,32,41.511127
718,117,116.51473
719,30,40.452717
720,57,34.647633
721,28,30.344818
722,15,44.999115
723,15,33.44499
724,20,25.47964
725,25,33.44499
726,26,30.767153
727,67,31.750036
728,27,34.539722
729,43,46.309544
730,70,53.593708
731,54,34.44332
732,29,34.599297
733,46,49.882957
734,27,33.44499
735,28,36.894016
736,32,32.85291
737,35,34.440895
738,84,35.420643
739,42,40.942596
740,26,36.802322
741,15,35.46583
742,33,40.934402
743,33,36.802322
744,35,33.80024
745,28,33.062424
746,35,36.69581
747,45,45.506298
748,44,57.898293
749,23,25.580088
750,44,59.329277
751,60,49.882957
752,51,37.002323
753,32,40.97384
754,38,42.827953
755,42,36.69581
756,53,38.480236
757,37,33.954044
758,71,66.7507
759,27,29.289974
760,22,34.440895
761,50,20.422009
762,60,34.3256
763,44,40.97384
764,35,30.344818
765,23,34.599297
766,40,34.599297
767,42,36.569454
768,18,29.037663
769,28,40.452717
770,62,46.91325
771,27,36.894016
772,40,47.740215
773,22,36.569454
774,52,34.599297
775,23,35.46583
776,48,43.90525
777,14,33.44499
778,29,30.85251
779,35,29.335428
780,54,31.750036
781,35,37.113525
782,26,49.882957
783,35,42.212154
784,36,34.49783
785,37,33.332916
786,34,36.69581
787,30,42.874657
788,43,34.44332
789,67,46.239586
790,33,47.14592
791,41,30.26497
792,97,116.51473
793,20,37.113525
794,41,39.60492
795,35,30.26497
796,55,55.264156
797,44,40.899345
798,44,40.899345
799,34,49.750053
800,34,35.431152
801,23,36.569454
802,35,36.802322
803,30,35.614346
804,42,34.599297
805,45,33.80024
806,53,42.51131
807,77,52.795986
808,28,35.46583
809,61,35.614346
810,21,43.517124
811,51,31.750036
812,60,54.62609
813,45,40.38595
814,46,34.629677
815,57,34.282402
816,23,35.614346
817,4,10.60879
818,39,40.453396
819,28,34.440895
820,22,42.218365
821,38,46.309544
822,57,45.688206
823,50,30.542183
824,25,40.934402
825,76,45.688206
826,49,38.480236
827,22,29.037663
828,25,36.802322
829,28,34.440895
830,31,40.97384
831,43,34.599297
832,38,36.802322
833,115,116.51473
834,36,30.85251
835,27,29.037663
836,27,35.46583
837,29,40.452717
838,43,34.440895
839,56,46.517235
840,60,58.721016
841,36,46.309544
842,47,29.340044
843,45,41.511127
844,74,52.381844
845,49,49.28155
846,13,61.89535
847,53,39.535065
848,45,46.13342
849,34,34.282402
850,34,39.945877
851,37,37.60207
852,42,40.97384
853,30,34.599297
854,29,37.08168
855,26,34.599297
856,33,36.432472
857,26,29.654778
858,56,29.985664
859,43,36.739525
860,26,39.60492
861,36,46.239586
862,25,36.739525
863,21,40.97384
864,35,40.97384
865,47,32.85291
866,55,59.329277
867,35,40.88742
868,23,34.599297
869,33,49.68757
870,37,34.629677
871,35,36.69581
872,16,35.431152
873,28,24.70563
874,44,40.515602
875,39,39.60492
876,38,40.97384
877,36,36.569454
878,69,53.593708
879,31,35.614346
880,48,25.580088
881,36,42.827953
882,42,38.480236
883,17,42.218365
884,42,29.654778
885,33,28.019567
886,58,55.58879
887,32,34.44332
888,53,40.934402
889,22,24.473183
890,29,34.599297
891,22,34.440895
892,27,35.46583
893,51,30.446938
894,44,53.593708
895,50,40.97384
896,49,55.264156
897,34,36.569454
898,35,35.420643
899,44,33.332916
900,35,41.511127
901,41,54.62609
902,41,54.62609
903,20,34.289593
904,50,36.802322
905,40,46.517235
906,16,46.50597
907,34,36.802322
908,22,50.137196
909,46,33.062424
910,49,45.506298
911,51,28.019567
912,16,23.47754
913,39,42.827953
914,55,40.97384
915,23,34.599297
916,23,34.599297
917,85,36.432472
918,25,36.802322
919,38,30.542183
920,77,49.750053
921,30,20.422009
922,52,76.3859
923,48,35.420643
924,26,32.736477
925,57,39.493446
926,26,29.654778
927,47,45.688206
928,66,51.694473
929,60,40.453396
930,62,40.452717
931,42,40.515602
932,51,33.80024
933,23,29.037663
934,60,54.62609
935,53,29.289974
936,26,33.80024
937,47,40.452717
938,60,61.371014
939,22,22.679499
940,57,54.62609
941,21,28.019567
942,29,33.80024
943,33,25.580088
944,21,23.47754
945,31,36.432472
946,24,33.80024
947,54,33.80024
948,28,29.335428
949,58,33.80024
950,38,42.218365
951,57,49.750053
952,24,30.542183
953,62,46.517235
954,57,36.016445
955,26,29.985664
956,30,38.712284
957,20,42.218365
958,10,31.750036
959,28,34.599297
960,97,116.51473
961,25,36.69581
962,48,48.58745
963,24,33.80024
964,33,30.85251
965,28,35.46583
966,67,33.332916
967,23,23.112461
968,25,40.453396
969,27,33.80024
970,40,34.443565
971,41,49.82489
972,41,49.82489
973,36,52.936268
974,38,54.72337
975,58,39.535065
976,110,116.51473
977,34,35.46583
978,35,40.899345
979,40,38.480236
980,34,36.894016
981,67,38.712284
982,54,38.712284
983,19,36.432472
984,63,66.27142
985,45,34.44332
986,45,37.08168
987,44,33.44499
988,16,36.802322
989,28,42.874657
990,91,116.51473
991,75,52.381844
992,26,36.739525
993,46,24.465855
994,62,42.827953
995,27,29.985664
996,32,42.218365
997,55,55.264156
998,45,30.26497
999,38,29.290276
1000,30,34.599297
1001,30,31.750036
1002,37,32.18072
1003,48,42.218365
1004,53,30.344818
1005,13,29.037663
1006,46,36.635216
1007,10,30.767153
1008,10,24.465855
1009,48,30.85251
1010,22,36.69581
1011,28,35.614346
1012,87,46.239586
1013,33,28.019567
1014,30,33.062424
1015,27,30.344818
1016,57,37.60207
1017,41,40.452717
1018,41,34.443565
1019,40,38.480236
1020,31,40.452717
1021,36,29.985664
1022,19,34.282402
1023,50,42.218365
1024,38,47.14592
